2,"Immigration debate"
3,"Same-sex marriage debate"
5,"Terror threats/homeland security"
14,"Conflict in the Middle East between Israelis and Palestinians"
16,"North Korea nuclear conflict"
17,"War in Afghanistan"
18,"Iran"
19,"Congressional political corruption scandals"
21,"Hurricane Katrina aftermath"
22,"Global warming"
23,"Supreme Court actions"
24,"Abortion controversy"
25,"Stem cell research controversy"
35,"Baseball steroids scandal"
37,"War on terror general"
42,"Conflict in Sudan/Darfur"
100,"Iraq War – events on the ground"
101,"Iraq War – U.S. homefront"
102,"Iraq War – policy debate"
192,"College football championship"
195,"Apple news"
204,"MLK holiday/remembrances"
205,"Golden Globe Awards"
207,"Cuba"
211,"American Idol TV show"
215,"Oscar awards"
221,"Energy debate"
222,"Health care debate"
242,"Walmart discrimination lawsuit"
244,"Grammy Awards"
267,"Talk show host wars for cable/radio news"
272,"VP Cheney health"
282,"NCAA basketball tournament"
283,"Gas/oil prices"
286,"Gays in the military"
299,"Heart disease research"
306,"Taxes/tax day"
311,"Masters golf tournament"
316,"VA Tech shootings"
344,"Israel internal politics"
353,"Pollution/emissions"
355,"Missing girl in Portugal"
365,"Memorial Day events/remembrances"
366,"Lindsay Lohan"
373,"Minimum wage increase"
378,"Hurricane season coming"
401,"VP Cheney controversies"
412,"Harry Potter"
425,"Catholic priest abuse scandal"
430,"FDA and tainted imported food"
433,"Pakistan"
438,"Connecticut home invasion and murder"
488,"September 11 commemorations"
506,"Myanmar protests"
514,"Baseball playoffs"
564,"Stacey Peterson scandal"
568,"Natalee Holloway disappearance"
594,"China"
595,"Russia"
608,"New Year’s resolutions/celebrations"
618,"Football playoffs/Super Bowl"
681,"Cyberspace issues"
699,"Kentucky Derby/Triple Crown"
756,"Fannie Mae/Freddie Mac troubles"
760,"Missing persons"
761,"U.S. airline industry"
762,"U.S. auto industry"
766,"Caylee Anthony missing two-year-old"
779,"John Edwards affair"
781,"Clark Rockefeller kidnapping charges"
799,"CERN Big Bang Machine"
813,"Jennifer Hudson mother brother killed 10/27"
818,"New Obama administration"
819,"State Governments/ Gubernatorial Races"
828,"Mexican drug war"
829,"Somali pirates"
832,"Mumbai terror attacks"
835,"Illinois Governor Blagojevich Senate seat scandal"
836,"Newspaper industry troubles"
840,"Madoff banking scam"
862,"Economy"
868,"Sarah Palin news"
883,"Stanford the swindling financier"
901,"Education system/debate"
909,"Lance Armstrong/Tour de France"
923,"Easter celebrations"
950,"Gun control"
960,"Tobacco legislation"
961,"Amanda Knox US student charged in Italy"
1005,"Nigeria violence"
1017,"Texting & driving/multitasking"
1026,"Lockerbie bomber released"
1031,"Jaycee Dugard - kidnap victim found"
1045,"CO/NYC terror investigation-Zazi"
1048,"2010 census"
1053,"2016 Olympic games"
1059,"2012 Presidential election"
1074,"Fort Hood army post shooting"
1082,"Pap Smear/Cervical Cancer Screening"
1083,"Oprah leaving in 2011"
1084,"Tiger Woods news"
1094,"Susan Powell missing"
1099,"Nigerian NWA terror attempt"
1102,"Yemen new battleground on terror"
1105,"Haiti earthquake"
1110,"SCOTUS campaign finance ruling"
1114,"Toyota accelerator recall"
1134,"USPS troubles"
1139,"Legalization of marijuana"
1141,"Hutaree Militia"
1144,"West Virginia coal mine accident"
1145,"Nuclear weapon issues"
1154,"Oil rig explosion"
1160,"UVA Lacrosse Murder"
1186,"Philly Duck/Barge accident"
1189,"Barefoot bandit"
1192,"Shirley Sherrod USDA firing"
1194,"WikiLeaks"
1198,"Arlington cemetery mixup"
1211,"51 Park Place mosque controversy"
1217,"Muslim backlash (not NYC mosque)"
1232,"Tyler Clementi suicide"
1235,"Bullying as an issue"
1243,"European economy/austerity/strikes"
1251,"Elizabeth Smart case"
1253,"Prince William engagement"
1266,"Facebook/Zuckerberg news"
1268,"Truvada-Promising HIV/AIDS Medication"
1278,"Gabrielle Giffords shooting"
1287,"2012 Non-Presidential elections"
1307,"Frankfurt Airport shooting"
1313,"Japan earthquake/tsunami"
1316,"AT&T-T-Mobile merger"
1317,"Air traffic controller mishaps"
1319,"Libya"
1327,"TX/OK heat drought wildfires"
1329,"Osama Bin Laden killed"
1333,"Strauss-Kahn sex assault scandal"
1334,"Joplin & May Midwest tornadoes"
1338,"Mladic arrested for war crimes"
1347,"Cigarette warning labels"
1348,"Whitey Bulger arrested"
1355,"News of the World hacking"
1362,"Norway explosion and shooting"
1363,"East African famine"
1365,"Abdo/FT. Hood plot"
1366,"2012 London Olympics"
1367,"FAA shutdown"
1372,"Wisconsin recalls"
1374,"Indiana fair stage collapse"
1378,"DC-area quake"
1388,"Solyndra scandal"
1392,"Reno air show crash"
1406,"Penn State child abuse scandal"
1408,"Dover AFB scandal"
1411,"Ortega-Hernandez WH shooting"
1413,"Scott Walker recall efforts"
1414,"Syracuse asst coach abuse scandal"
1415,"Natalie Wood case reopened"
1417,"Hillary Clinton in Myanmar/Burma"
1419,"Corzine/MF global scandal"
1422,"FAMU hazing scandals"
1424,"CT Xmas housefire"
1427,"LA Car Arsonist"
1428,"Mt Rainier Ranger Killing"
1429,"Obama military budget"
1430,"Body Found on UK Queen Estate"
1431,"MS Gov Barbour Pardons Criminals"
1432,"Alaska Snow"
1433,"Midwest Snowstorm"
1434,"Italian Cruise Ship Crash"
1435,"Obama Streamlines Commerce & Trade Agencies"
1436,"Online Piracy Legislation"
1437,"Northwest Snowstorm"
1438,"Keystone Oil Pipeline"
1439,"Joe Paterno Dies"
1440,"Alabama Tornadoes"
1441,"State of the Union 2012"
1442,"Solar Storm"
1443,"SCOTUS Rejects GPS Tracker"
1444,"Brewer Obama Confrontation in AZ"
1445,"Florida Highway Crash"
1446,"Soccer Riot in Egypt"
1447,"Susan G. Komen Cuts Planned Parenthood Funding"
1448,"Pfizer Birth Control Pill Recall"
1449,"Don Cornelius Dies"
1450,"Denver Blizzard"
1451,"LA School Sex Abuse Scandal"
1452,"Clint Eastwood SB Ad"
1453,"CPAC 2012"
1454,"Whitney Houston Dies"
1455,"Jeremy Lin News"
1456,"Honduras Prison Fire"
1457,"Justice Breyer Robbed"
1458,"Avalanche in WA"
1459,"Fatal USMC Helo Crash in AZ"
1460,"Honeymoon Killer Acquitted"
1461,"OH School Shooting"
1462,"Midwest Winter Tornadoes"
1463,"Disabled Italian Cruise Ship"
1464,"Davy Jones Dies"
1465,"Andrew Breitbart Dies"
1466,"Kony 2012 Viral Video"
1467,"Solar Storm March 2012"
1468,"NFL Bounty System"
1469,"Peyton Manning News"
1470,"Michigan Tornadoes"
1471,"David Cameron State Visit"
1472,"French Jewish School Shooting"
1474,"Acapulco Earthquake"
1475,"Trayvon Martin Shooting"
1476,"CO Wildfires"
1477,"LA Dodgers Sold"
1478,"Pope Visits Cuba"
1479,"Record Mega Millions Lottery"
1480,"Obama’s Open Mic Remark on Missile Defense"
1481,"Autism Research"
1482,"Oikos University Shooting"
1483,"North American Leaders’ Summit"
1484,"DFW Area Tornadoes"
1485,"GSA Head Resigns"
1486,"Augusta National Membership Controversy"
1487,"VA Beach Navy Jet Crash"
1488,"Tulsa OK Shooting"
1489,"Mike Wallace Dies"
1490,"Indonesia Earthquake"
1491,"Titanic Centennial"
1492,"Cory Booker Fire Rescue"
1493,"Secret Service Prostitution Scandal"
1494,"Mid-April Midwest Tornadoes"
1495,"Dick Clark Dies"
1496,"Pat Summitt Retires"
1497,"Etan Patz Cold Case"
1498,"Mad Cow Disease"
1499,"Charles Taylor War Crimes Trial"
1500,"Late Spring Snow"
1501,"Walmart Mexican Bribery Scandal"
1502,"Junior Seau Death"
1503,"Maurice Sendak Dies"
1504,"Adam Mayes Murder & Kidnapping"
1505,"US Minority Births Report"
1506,"May 2012 AZ Wildfires"
1507,"Donna Summers Dies"
1508,"Flesh-Eating Bacteria"
1509,"Yahoo CEO Resigns"
1510,"Mary Kennedy Suicide"
1511,"NATO Summit"
1512,"SpaceX Rocket Launch"
1513,"Beryl Tropical Storm/Depression"
1514,"Queen Elizabeth Diamond Jubilee"
1515,"Quake in N Italy"
1516,"Bloomberg Soda Ban"
1517,"Canadian Porn Star Killer"
1518,"Colorado Wildfires"
1519,"National Security Leaks to NYT"
1551,"Google news"
8880,"NASA/ Shuttle missions"
8881,"Who leads the GOP"
8882,"Tea Party movement general"
8883,"Middle East unrest"
999,"No Big Story"
